"UID","Date","country_name","ISO3","Confirmed","Recovered","Deaths"
"212","1/23/2020","Burkina Faso","BFA","0","0","0"
"213","1/23/2020","Burma","MMR","0","0","0"
"214","1/23/2020","Burundi","BDI","0","0","0"
"215","1/23/2020","Cabo Verde","CPV","0","0","0"
"216","1/23/2020","Cambodia","KHM","0","0","0"
"217","1/23/2020","Cameroon","CMR","0","0","0"
"218","1/23/2020","Canada","CAN","0","0","0"
"219","1/23/2020","Central African Republic","CAF","0","0","0"
"220","1/23/2020","Chad","TCD","0","0","0"
"221","1/23/2020","Chile","CHL","0","0","0"
"222","1/23/2020","China","CHN","643","30","18"
"223","1/23/2020","Colombia","COL","0","0","0"
"224","1/23/2020","Congo (Brazzaville)","COG","0","0","0"
"225","1/23/2020","Congo (Kinshasa)","COD","0","0","0"
"226","1/23/2020","Costa Rica","CRI","0","0","0"
"227","1/23/2020","Cote d'Ivoire","CIV","0","0","0"
"228","1/23/2020","Croatia","HRV","0","0","0"
"229","1/23/2020","Cuba","CUB","0","0","0"
"230","1/23/2020","Cyprus","CYP","0","0","0"
"231","1/23/2020","Czechia","CZE","0","0","0"
"232","1/23/2020","Denmark","DNK","0","0","0"
"233","1/23/2020","Diamond Princess",,"0","0","0"
"234","1/23/2020","Djibouti","DJI","0","0","0"
"235","1/23/2020","Dominica","DMA","0","0","0"
"236","1/23/2020","Dominican Republic","DOM","0","0","0"
"237","1/23/2020","Ecuador","ECU","0","0","0"
"238","1/23/2020","Egypt","EGY","0","0","0"
"239","1/23/2020","El Salvador","SLV","0","0","0"
"240","1/23/2020","Equatorial Guinea","GNQ","0","0","0"
"241","1/23/2020","Eritrea","ERI","0","0","0"
"242","1/23/2020","Estonia","EST","0","0","0"
"243","1/23/2020","Eswatini","SWZ","0","0","0"
"244","1/23/2020","Ethiopia","ETH","0","0","0"
"245","1/23/2020","Fiji","FJI","0","0","0"
"246","1/23/2020","Finland","FIN","0","0","0"
"247","1/23/2020","France","FRA","0","0","0"
"248","1/23/2020","Gabon","GAB","0","0","0"
"249","1/23/2020","Gambia","GMB","0","0","0"
"250","1/23/2020","Georgia","GEO","0","0","0"
"251","1/23/2020","Germany","DEU","0","0","0"
"252","1/23/2020","Ghana","GHA","0","0","0"
"253","1/23/2020","Greece","GRC","0","0","0"
"254","1/23/2020","Grenada","GRD","0","0","0"
"255","1/23/2020","Guatemala","GTM","0","0","0"
"256","1/23/2020","Guinea","GIN","0","0","0"
"257","1/23/2020","Guinea-Bissau","GNB","0","0","0"
"258","1/23/2020","Guyana","GUY","0","0","0"
"259","1/23/2020","Haiti","HTI","0","0","0"
"260","1/23/2020","Holy See","VAT","0","0","0"
"261","1/23/2020","Honduras","HND","0","0","0"
"262","1/23/2020","Hungary","HUN","0","0","0"
"263","1/23/2020","Iceland","ISL","0","0","0"
"264","1/23/2020","India","IND","0","0","0"
"265","1/23/2020","Indonesia","IDN","0","0","0"
"266","1/23/2020","Iran","IRN","0","0","0"
"267","1/23/2020","Iraq","IRQ","0","0","0"
"268","1/23/2020","Ireland","IRL","0","0","0"
"269","1/23/2020","Israel","ISR","0","0","0"
"270","1/23/2020","Italy","ITA","0","0","0"
"271","1/23/2020","Jamaica","JAM","0","0","0"
"272","1/23/2020","Japan","JPN","2","0","0"
"273","1/23/2020","Jordan","JOR","0","0","0"
"274","1/23/2020","Kazakhstan","KAZ","0","0","0"
"275","1/23/2020","Kenya","KEN","0","0","0"
"276","1/23/2020","Korea, South","KOR","1","0","0"
"277","1/23/2020","Kosovo","XKS","0","0","0"
"278","1/23/2020","Kuwait","KWT","0","0","0"
"279","1/23/2020","Kyrgyzstan","KGZ","0","0","0"
"280","1/23/2020","Laos","LAO","0","0","0"
"281","1/23/2020","Latvia","LVA","0","0","0"
"282","1/23/2020","Lebanon","LBN","0","0","0"
"283","1/23/2020","Liberia","LBR","0","0","0"
"284","1/23/2020","Libya","LBY","0","0","0"
"285","1/23/2020","Liechtenstein","LIE","0","0","0"
"286","1/23/2020","Lithuania","LTU","0","0","0"
"287","1/23/2020","Luxembourg","LUX","0","0","0"
"288","1/23/2020","MS Zaandam",,"0","0","0"
"289","1/23/2020","Madagascar","MDG","0","0","0"
"290","1/23/2020","Malawi","MWI","0","0","0"
"291","1/23/2020","Malaysia","MYS","0","0","0"
"292","1/23/2020","Maldives","MDV","0","0","0"
"293","1/23/2020","Mali","MLI","0","0","0"
"294","1/23/2020","Malta","MLT","0","0","0"
"295","1/23/2020","Mauritania","MRT","0","0","0"
"296","1/23/2020","Mauritius","MUS","0","0","0"
"297","1/23/2020","Mexico","MEX","0","0","0"
"298","1/23/2020","Moldova","MDA","0","0","0"
"299","1/23/2020","Monaco","MCO","0","0","0"
"300","1/23/2020","Mongolia","MNG","0","0","0"
"301","1/23/2020","Montenegro","MNE","0","0","0"
"302","1/23/2020","Morocco","MAR","0","0","0"
"303","1/23/2020","Mozambique","MOZ","0","0","0"
"304","1/23/2020","Namibia","NAM","0","0","0"
"305","1/23/2020","Nepal","NPL","0","0","0"
"306","1/23/2020","Netherlands","NLD","0","0","0"
"307","1/23/2020","New Zealand","NZL","0","0","0"
"308","1/23/2020","Nicaragua","NIC","0","0","0"
"309","1/23/2020","Niger","NER","0","0","0"
"310","1/23/2020","Nigeria","NGA","0","0","0"
"311","1/23/2020","North Macedonia","MKD","0","0","0"
"312","1/23/2020","Norway","NOR","0","0","0"
"313","1/23/2020","Oman","OMN","0","0","0"
"314","1/23/2020","Pakistan","PAK","0","0","0"
"315","1/23/2020","Panama","PAN","0","0","0"
"316","1/23/2020","Papua New Guinea","PNG","0","0","0"
"317","1/23/2020","Paraguay","PRY","0","0","0"
"318","1/23/2020","Peru","PER","0","0","0"
"319","1/23/2020","Philippines","PHL","0","0","0"
"320","1/23/2020","Poland","POL","0","0","0"
"321","1/23/2020","Portugal","PRT","0","0","0"
"322","1/23/2020","Qatar","QAT","0","0","0"
"323","1/23/2020","Romania","ROU","0","0","0"
"324","1/23/2020","Russia","RUS","0","0","0"
"325","1/23/2020","Rwanda","RWA","0","0","0"
"326","1/23/2020","Saint Kitts and Nevis","KNA","0","0","0"
"327","1/23/2020","Saint Lucia","LCA","0","0","0"
"328","1/23/2020","Saint Vincent and the Grenadines","VCT","0","0","0"
"329","1/23/2020","San Marino","SMR","0","0","0"
"330","1/23/2020","Sao Tome and Principe","STP","0","0","0"
"331","1/23/2020","Saudi Arabia","SAU","0","0","0"
"332","1/23/2020","Senegal","SEN","0","0","0"
"333","1/23/2020","Serbia","SRB","0","0","0"
